player_id,start_year,season_days_injured,total_days_injured,season_minutes_played,total_minutes_played,season_games_played,total_games_played,season_matches_in_squad,height_cm,weight_kg,nationality,work_rate,pace,physic,fifa_rating,position,overall_ability,age,experience,cumulative_minutes_played,cumulative_games_played,minutes_per_game_prev_seasons,avg_days_injured_prev_seasons,avg_games_per_season_prev_seasons,bmi,significant_injury_prev_season,cumulative_days_injured,season_days_injured_prev_season
p100059,2017,50,66,1344.0,1504.0,16,18,24,171.0,65.0,Spain,High/Low,89.0,74.0,77.0,Defender,80.0,25,0,,,,,,22.229061933586404,,,
p100059,2018,16,66,160.0,1504.0,2,18,18,171.0,65.0,Spain,High/Low,88.0,74.0,76.0,Defender,79.33333333333333,26,1,1344.0,16.0,84.0,50.0,16.0,22.229061933586404,0.0,66.0,50.0
p100180,2017,8,105,1442.0,2298.0,23,34,36,184.0,78.0,Brazil,High/Medium,80.0,79.0,80.0,Defender,79.66666666666667,26,0,,,,,,23.03875236294896,,,
p100180,2018,97,105,856.0,2298.0,11,34,26,184.0,78.0,Brazil,High/Medium,78.0,79.0,78.0,Defender,78.33333333333333,27,1,1442.0,23.0,62.69565217391305,8.0,23.0,23.03875236294896,0.0,105.0,8.0
p100412,2017,12,12,1631.0,1631.0,27,27,31,180.0,73.0,Peru,High/Medium,91.0,68.0,80.0,Midfielder,79.66666666666667,26,0,,,,,,22.530864197530864,,,
p100649,2018,35,72,2194.0,3547.0,34,61,35,164.0,57.0,Brazil,High/Medium,89.0,44.0,79.0,Forward,70.66666666666667,26,0,,,,,,21.192742415229034,,,
p100649,2019,37,72,1353.0,3547.0,27,61,33,164.0,60.0,Brazil,High/Medium,90.0,45.0,80.0,Forward,71.66666666666667,27,1,2194.0,34.0,64.52941176470588,35.0,34.0,22.308149910767405,0.0,72.0,35.0
p101105,2018,47,53,2452.0,3180.0,28,44,32,170.0,72.0,England,High/Medium,85.0,74.0,72.0,Defender,77.0,25,0,,,,,,24.913494809688583,,,
p101105,2020,6,53,728.0,3180.0,16,44,34,174.0,76.0,England,High/Medium,77.0,72.0,73.0,Defender,74.0,27,2,2452.0,28.0,87.57142857142857,47.0,28.0,25.102391333069097,0.0,53.0,47.0
p101148,2017,28,354,3088.0,9869.0,33,108,34,189.0,83.0,England,Medium/High,64.0,74.0,71.0,Defender,69.66666666666667,24,0,,,,,,23.23563170124017,,,
p101148,2018,64,354,2890.0,9869.0,32,108,33,189.0,83.0,England,Medium/High,62.0,74.0,73.0,Defender,69.66666666666667,25,1,3088.0,33.0,93.57575757575758,28.0,33.0,23.23563170124017,0.0,354.0,28.0
p101148,2019,65,354,2184.0,9869.0,24,108,24,188.0,89.0,England,Medium/High,62.0,80.0,78.0,Defender,73.33333333333333,26,2,5978.0,65.0,91.96923076923076,46.0,32.5,25.18107741059303,0.0,708.0,64.0
p101148,2020,197,354,1707.0,9869.0,19,108,19,188.0,89.0,England,Medium/High,59.0,80.0,78.0,Defender,72.33333333333333,27,3,8162.0,89.0,91.70786516853933,52.333333333333336,29.666666666666668,25.18107741059303,0.0,1062.0,65.0
p101178,2016,3,25,1989.0,9209.0,30,106,35,173.0,66.0,England,High/Medium,69.0,68.0,74.0,Midfielder,70.33333333333333,22,0,,,,,,22.052190183434128,,,
p101178,2019,8,25,3610.0,9209.0,38,106,38,173.0,66.0,England,Medium/Medium,61.0,65.0,77.0,Midfielder,67.66666666666667,25,3,1989.0,30.0,66.3,3.0,30.0,22.052190183434128,0.0,25.0,3.0
p101178,2020,14,25,3610.0,9209.0,38,106,38,173.0,66.0,England,Medium/Medium,60.0,64.0,79.0,Midfielder,67.66666666666667,26,4,5599.0,68.0,82.33823529411765,5.5,34.0,22.052190183434128,0.0,50.0,8.0
p101184,2016,63,458,2375.0,7178.0,25,82,29,183.0,66.0,England,Medium/Medium,66.0,73.0,72.0,Defender,70.33333333333333,21,0,,,,,,19.70796380901191,,,
p101184,2017,58,458,904.0,7178.0,12,82,19,183.0,66.0,England,Medium/Medium,62.0,74.0,72.0,Defender,69.33333333333333,22,1,2375.0,25.0,95.0,63.0,25.0,19.70796380901191,0.0,458.0,63.0
p101184,2018,22,458,2736.0,7178.0,31,82,33,183.0,66.0,England,Low/High,64.0,76.0,75.0,Defender,71.66666666666667,23,2,3279.0,37.0,88.62162162162163,60.5,18.5,19.70796380901191,0.0,916.0,58.0
p101184,2019,315,458,1163.0,7178.0,14,82,19,183.0,66.0,England,Low/High,62.0,73.0,75.0,Defender,70.0,24,3,6015.0,68.0,88.45588235294117,47.666666666666664,22.666666666666668,19.70796380901191,0.0,1374.0,22.0
p101188,2018,20,99,3155.0,9190.0,35,100,36,178.0,74.0,France,High/Medium,80.0,75.0,79.0,Defender,78.0,25,0,,,,,,23.355636914530994,,,
p101188,2019,33,99,3185.0,9190.0,35,100,36,178.0,74.0,France,High/Medium,76.0,72.0,78.0,Defender,75.33333333333333,26,1,3155.0,35.0,90.14285714285714,20.0,35.0,23.355636914530994,0.0,99.0,20.0
p101188,2020,46,99,2850.0,9190.0,30,100,30,178.0,74.0,France,High/Medium,78.0,76.0,83.0,Defender,79.0,27,2,6340.0,70.0,90.57142857142857,26.5,35.0,23.355636914530994,0.0,198.0,33.0
p101537,2018,10,105,3182.0,4739.0,36,61,36,175.0,70.0,Brazil,High/High,92.0,62.0,81.0,Midfielder,78.33333333333333,25,0,,,,,,22.857142857142858,,,
p101537,2019,95,105,1557.0,4739.0,25,61,29,175.0,70.0,Brazil,High/High,92.0,60.0,82.0,Midfielder,78.0,26,1,3182.0,36.0,88.38888888888889,10.0,36.0,22.857142857142858,0.0,105.0,10.0
p101668,2018,26,67,2874.0,9054.0,34,103,34,179.0,74.0,England,High/High,91.0,78.0,81.0,Forward,83.33333333333333,31,0,,,,,,23.095409007209515,,,
p101668,2019,14,67,3199.0,9054.0,35,103,35,179.0,74.0,England,High/High,90.0,77.0,82.0,Forward,83.0,32,1,2874.0,34.0,84.52941176470588,26.0,34.0,23.095409007209515,0.0,67.0,26.0
p101668,2020,27,67,2981.0,9054.0,34,103,34,179.0,74.0,England,High/High,88.0,75.0,82.0,Forward,81.66666666666667,33,2,6073.0,69.0,88.01449275362319,20.0,34.5,23.095409007209515,0.0,134.0,14.0
p101982,2020,26,26,3515.0,3515.0,37,37,37,193.0,85.0,England,Medium/Medium,41.0,74.6,75.0,Goalkeeper,74.6,27,0,,,,,,22.819404547773097,,,
p102057,2018,6,233,3234.0,4100.0,38,48,38,187.0,81.0,Mexico,High/Medium,76.0,80.0,78.0,Forward,78.0,27,0,,,,,,23.163373273470786,,,
p102057,2020,227,233,866.0,4100.0,10,48,10,188.0,81.0,Mexico,High/High,78.0,79.0,80.0,Forward,79.0,29,2,3234.0,38.0,85.10526315789474,6.0,38.0,22.917609778180175,0.0,233.0,6.0
p102380,2018,102,221,3024.0,4829.0,33,53,35,190.0,85.0,Germany,Medium/High,74.0,79.0,82.0,Defender,78.33333333333333,25,0,,,,,,23.545706371191137,,,
p102380,2019,119,221,1805.0,4829.0,20,53,23,190.0,85.0,Germany,Medium/High,73.0,77.0,81.0,Defender,77.0,26,1,3024.0,33.0,91.63636363636364,102.0,33.0,23.545706371191137,0.0,221.0,102.0
p102747,2019,13,13,1931.0,1931.0,25,25,31,182.0,81.0,France,High/High,79.0,80.0,80.0,Defender,79.66666666666667,27,0,,,,,,24.453568409612362,,,
p102826,2017,247,714,391.0,3902.0,7,49,8,185.0,85.0,France,High/Medium,77.0,76.0,75.0,Defender,76.0,23,0,,,,,,24.835646457268076,,,
p102826,2018,351,714,950.0,3902.0,10,49,11,185.0,85.0,France,High/Medium,82.0,79.0,78.0,Defender,79.66666666666667,24,1,391.0,7.0,55.857142857142854,247.0,7.0,24.835646457268076,1.0,714.0,247.0
p102826,2019,58,714,1561.0,3902.0,19,49,27,185.0,85.0,France,High/Medium,81.0,78.0,81.0,Defender,80.0,25,2,1341.0,17.0,78.88235294117646,299.0,8.5,24.835646457268076,1.0,1428.0,351.0
p102826,2020,58,714,1000.0,3902.0,13,49,32,185.0,85.0,France,High/Low,81.0,77.0,80.0,Defender,79.33333333333333,26,3,2902.0,36.0,80.61111111111111,218.66666666666666,12.0,24.835646457268076,0.0,2142.0,58.0
