match_id,home_team_id,away_team_id,home_team_goals,away_team_goals,match_date,matchweek,referee,stadium_id,season_id
1,120,150,2,4,15/08/1992,1,Alan Gunn,231,1992/1993
2,134,152,1,1,15/08/1992,1,Jim Borrett,147,1992/1993
3,135,148,2,1,15/08/1992,1,Howard King,148,1992/1993
4,136,124,3,3,15/08/1992,1,Roger Milford,149,1992/1993
5,138,157,1,1,15/08/1992,1,Kelvin Morton,151,1992/1993
6,142,121,1,1,15/08/1992,1,Alf Buksh,155,1992/1993
7,143,168,2,1,15/08/1992,1,Gerald Ashby,156,1992/1993
8,156,147,2,1,15/08/1992,1,Brian Hill,169,1992/1993
9,158,163,0,0,15/08/1992,1,Vic Callow,235,1992/1993
10,151,145,1,0,16/08/1992,1,Mike Reed,164,1992/1993
11,146,154,1,1,17/08/1992,1,Martin Bodenham,233,1992/1993
12,124,120,1,0,18/08/1992,1,Joe Worrall,137,1992/1993
13,168,142,0,1,18/08/1992,1,Robert Hart,149,1992/1993
14,121,143,1,1,19/08/1992,1,Keith Hackett,134,1992/1993
15,145,156,2,1,19/08/1992,1,David Elleray,158,1992/1993
16,147,138,0,3,19/08/1992,1,Keren Barratt,160,1992/1993
17,148,146,2,0,19/08/1992,1,Stephen Lodge,232,1992/1993
18,150,134,2,1,19/08/1992,1,Gerald Ashby,163,1992/1993
19,152,136,1,1,19/08/1992,1,Mike Peck,165,1992/1993
20,154,158,3,1,19/08/1992,1,Ray Bigger,167,1992/1993
21,157,151,2,0,19/08/1992,1,Philip Don,170,1992/1993
22,163,135,0,2,19/08/1992,1,Dermot Gallagher,234,1992/1993
23,121,158,1,1,22/08/1992,2,Kelvin Morton,134,1992/1993
24,124,146,1,0,22/08/1992,2,Robert Hart,137,1992/1993
25,147,142,1,1,22/08/1992,2,Gerald Ashby,160,1992/1993
26,148,143,4,1,22/08/1992,2,David Allison,232,1992/1993
27,150,138,1,1,22/08/1992,2,John Key,163,1992/1993
28,152,151,5,3,22/08/1992,2,Ron Groves,165,1992/1993
29,154,156,3,2,22/08/1992,2,Peter Foakes,167,1992/1993
30,157,134,3,3,22/08/1992,2,Roger Dilkes,170,1992/1993
31,163,136,2,2,22/08/1992,2,Philip Don,234,1992/1993
32,168,135,1,2,22/08/1992,2,Jim Borrett,149,1992/1993
33,145,120,0,2,23/08/1992,2,Ken Redfern,158,1992/1993
34,158,147,0,1,24/08/1992,2,Gary Lewis,235,1992/1993
35,136,157,1,1,25/08/1992,2,John Martin,149,1992/1993
36,138,121,1,0,25/08/1992,2,Martin Bodenham,151,1992/1993
37,142,145,2,2,25/08/1992,2,Bob Hamer,155,1992/1993
38,143,163,5,0,25/08/1992,2,Mike Reed,156,1992/1993
39,156,168,2,2,25/08/1992,2,Keren Barratt,169,1992/1993
40,120,152,2,0,26/08/1992,2,Roger Milford,231,1992/1993
41,134,124,0,0,26/08/1992,2,Ray Bigger,147,1992/1993
42,135,154,0,1,26/08/1992,2,Ray Bigger,148,1992/1993
43,146,150,3,1,26/08/1992,2,David Elleray,233,1992/1993
44,120,157,2,1,29/08/1992,3,Paul Durkin,231,1992/1993
45,134,154,1,0,29/08/1992,3,Alf Buksh,147,1992/1993
46,135,124,0,2,29/08/1992,3,Ray Lewis,148,1992/1993
47,136,150,1,2,29/08/1992,3,David Allison,149,1992/1993
48,138,168,0,0,29/08/1992,3,Howard King,151,1992/1993
49,143,145,2,2,29/08/1992,3,Roger Dilkes,156,1992/1993
50,146,152,3,3,29/08/1992,3,Dermot Gallagher,233,1992/1993
51,151,147,0,2,29/08/1992,3,Ken Redfern,164,1992/1993
52,156,121,0,2,29/08/1992,3,Roger Milford,169,1992/1993
53,158,148,2,1,29/08/1992,3,Rodger Gifford,235,1992/1993
54,142,163,1,1,30/08/1992,3,Keith Hackett,155,1992/1993
55,150,151,3,1,31/08/1992,3,Brian Hill,163,1992/1993
56,145,158,1,1,01/09/1992,3,Robert Hart,158,1992/1993
57,148,142,2,2,01/09/1992,3,Bob Nixon,232,1992/1993
58,152,143,2,2,01/09/1992,3,Keren Barratt,165,1992/1993
59,168,146,0,1,01/09/1992,3,Mike Reed,149,1992/1993
60,121,134,1,3,02/09/1992,3,Peter Foakes,134,1992/1993
61,147,136,1,0,02/09/1992,3,Vic Callow,160,1992/1993
62,154,120,0,0,02/09/1992,3,Ron Groves,167,1992/1993
63,157,135,1,2,02/09/1992,3,Rodger Gifford,170,1992/1993
64,163,156,2,0,02/09/1992,3,George Pearson,234,1992/1993
65,121,136,3,0,05/09/1992,4,Ken Redfern,134,1992/1993
